TYPECOM,COM,REG,DEP,TNCC,NCC,NCCENR,LIBELLE
COMD,1091,,,0,CHATILLON EN MICHAILLE,Châtillon-en-Michaille,Châtillon-en-Michaille
COM,1092,84,1,0,CHATILLON LA PALUD,Châtillon-la-Palud,Châtillon-la-Palud
COM,1093,84,1,0,CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne,Châtillon-sur-Chalaronne
COM,1094,84,1,0,CHAVANNES SUR REYSSOUZE,Chavannes-sur-Reyssouze,Chavannes-sur-Reyssouze
COM,1095,84,1,0,NIVIGNE ET SURAN,Nivigne et Suran,Nivigne et Suran
COM,1096,84,1,0,CHAVEYRIAT,Chaveyriat,Chaveyriat
COMD,1097,,,0,CHAVORNAY,Chavornay,Chavornay
COM,1098,84,1,0,CHAZEY BONS,Chazey-Bons,Chazey-Bons
COM,1099,84,1,0,CHAZEY SUR AIN,Chazey-sur-Ain,Chazey-sur-Ain
COM,1100,84,1,0,CHEIGNIEU LA BALME,Cheignieu-la-Balme,Cheignieu-la-Balme
COM,1101,84,1,0,CHEVILLARD,Chevillard,Chevillard
COM,1102,84,1,0,CHEVROUX,Chevroux,Chevroux
COM,1103,84,1,0,CHEVRY,Chevry,Chevry
COM,1104,84,1,0,CHEZERY FORENS,Chézery-Forens,Chézery-Forens
COM,1105,84,1,0,CIVRIEUX,Civrieux,Civrieux
COM,1106,84,1,0,CIZE,Cize,Cize
COM,1107,84,1,0,CLEYZIEU,Cleyzieu,Cleyzieu
COM,1108,84,1,0,COLIGNY,Coligny,Coligny
COM,1109,84,1,0,COLLONGES,Collonges,Collonges
COM,1110,84,1,0,COLOMIEU,Colomieu,Colomieu
COM,1111,84,1,0,CONAND,Conand,Conand
COM,1112,84,1,0,CONDAMINE,Condamine,Condamine
COM,1113,84,1,0,CONDEISSIAT,Condeissiat,Condeissiat
COM,1114,84,1,0,CONFORT,Confort,Confort
COM,1115,84,1,0,CONFRANCON,Confrançon,Confrançon
COM,1116,84,1,0,CONTREVOZ,Contrevoz,Contrevoz
COM,1117,84,1,0,CONZIEU,Conzieu,Conzieu
COM,1118,84,1,0,CORBONOD,Corbonod,Corbonod
COMD,1119,,,0,CORCELLES,Corcelles,Corcelles
COMA,1120,,,0,CORDIEUX,Cordieux,Cordieux
COM,1121,84,1,0,CORLIER,Corlier,Corlier
COMD,1122,,,0,CORMARANCHE EN BUGEY,Cormaranche-en-Bugey,Cormaranche-en-Bugey
COM,1123,84,1,0,CORMORANCHE SUR SAONE,Cormoranche-sur-Saône,Cormoranche-sur-Saône
COM,1124,84,1,0,CORMOZ,Cormoz,Cormoz
COM,1125,84,1,0,CORVEISSIAT,Corveissiat,Corveissiat
COM,1127,84,1,0,COURMANGOUX,Courmangoux,Courmangoux
COM,1128,84,1,0,COURTES,Courtes,Courtes
COM,1129,84,1,0,CRANS,Crans,Crans
COM,1130,84,1,0,BRESSE VALLONS,Bresse Vallons,Bresse Vallons
COMD,1130,,,0,CRAS SUR REYSSOUZE,Cras-sur-Reyssouze,Cras-sur-Reyssouze
COM,1133,84,1,0,CRESSIN ROCHEFORT,Cressin-Rochefort,Cressin-Rochefort
COM,1134,84,1,0,CROTTET,Crottet,Crottet
COM,1135,84,1,0,CROZET,Crozet,Crozet
COM,1136,84,1,0,CRUZILLES LES MEPILLAT,Cruzilles-lès-Mépillat,Cruzilles-lès-Mépillat
COMD,1137,,,0,CUISIAT,Cuisiat,Cuisiat
COM,1138,84,1,0,CULOZ BEON,Culoz-Béon,Culoz-Béon
COMD,1138,,,0,CULOZ,Culoz,Culoz
COM,1139,84,1,0,CURCIAT DONGALON,Curciat-Dongalon,Curciat-Dongalon
COM,1140,84,1,0,CURTAFOND,Curtafond,Curtafond
COM,1141,84,1,0,CUZIEU,Cuzieu,Cuzieu
COM,1142,84,1,0,DAGNEUX,Dagneux,Dagneux
COM,1143,84,1,0,DIVONNE LES BAINS,Divonne-les-Bains,Divonne-les-Bains
COMD,1144,,,0,DOMMARTIN,Dommartin,Dommartin
COM,1145,84,1,0,DOMPIERRE SUR VEYLE,Dompierre-sur-Veyle,Dompierre-sur-Veyle
COM,1146,84,1,0,DOMPIERRE SUR CHALARONNE,Dompierre-sur-Chalaronne,Dompierre-sur-Chalaronne
COM,1147,84,1,0,DOMSURE,Domsure,Domsure
COM,1148,84,1,0,DORTAN,Dortan,Dortan
COM,1149,84,1,0,DOUVRES,Douvres,Douvres
COM,1150,84,1,0,DROM,Drom,Drom
COM,1151,84,1,0,DRUILLAT,Druillat,Druillat
COM,1152,84,1,1,ECHALLON,Échallon,Échallon
COM,1153,84,1,1,ECHENEVEX,Échenevex,Échenevex
COMD,1154,,,1,ETREZ,Étrez,Étrez
COM,1155,84,1,1,EVOSGES,Évosges,Évosges
COM,1156,84,1,0,FARAMANS,Faramans,Faramans
COM,1157,84,1,0,FAREINS,Fareins,Fareins
COM,1158,84,1,0,FARGES,Farges,Farges
COM,1159,84,1,0,FEILLENS,Feillens,Feillens
COM,1160,84,1,0,FERNEY VOLTAIRE,Ferney-Voltaire,Ferney-Voltaire
COM,1162,84,1,0,FLAXIEU,Flaxieu,Flaxieu
COM,1163,84,1,0,FOISSIAT,Foissiat,Foissiat
COM,1165,84,1,0,FRANCHELEINS,Francheleins,Francheleins
COM,1166,84,1,0,FRANS,Frans,Frans
COM,1167,84,1,0,GARNERANS,Garnerans,Garnerans
COM,1169,84,1,0,GENOUILLEUX,Genouilleux,Genouilleux
COM,1170,84,1,0,BEARD GEOVREISSIAT,Béard-Géovreissiat,Béard-Géovreissiat
COM,1171,84,1,0,GEOVREISSET,Géovreisset,Géovreisset
COM,1173,84,1,0,GEX,Gex,Gex
COM,1174,84,1,0,GIRON,Giron,Giron
COM,1175,84,1,0,GORREVOD,Gorrevod,Gorrevod
COM,1177,84,1,0,GRAND CORENT,Grand-Corent,Grand-Corent
