P19_POP,Population en 2019
P13_POP,Population en 2013
P08_POP,Population en 2008
D99_POP,Population en 1999
NAIS1319,Nombre de naissances entre 01/01/2013 et 01/01/2019 en 2019
NAIS0813,Nombre de naissances entre 01/01/2008 et 01/01/2013 en 2019
DECE0813,Nombre de décès entre 01/01/2008 et 01/01/2013 en 2019
DECE9908,Nombre de décès entre 01/01/1999 et 01/01/2008 en 2019
P08_LOG,Nombre de logements en 2008
D99_LOG,Nombre de logements en 1999
