COM,REG,DEP,TNCC,NCC,NCCENR
1143,84,1,0,DIVONNE LES BAINS,Divonne-les-Bains
1145,84,1,0,DOMPIERRE SUR VEYLE,Dompierre-sur-Veyle
1146,84,1,0,DOMPIERRE SUR CHALARONNE,Dompierre-sur-Chalaronne
1147,84,1,0,DOMSURE,Domsure
1148,84,1,0,DORTAN,Dortan
1149,84,1,0,DOUVRES,Douvres
1150,84,1,0,DROM,Drom
1151,84,1,0,DRUILLAT,Druillat
1152,84,1,1,ECHALLON,Échallon
1153,84,1,1,ECHENEVEX,Échenevex
1155,84,1,1,EVOSGES,Évosges
1156,84,1,0,FARAMANS,Faramans
1157,84,1,0,FAREINS,Fareins
1158,84,1,0,FARGES,Farges
1159,84,1,0,FEILLENS,Feillens
1160,84,1,0,FERNEY VOLTAIRE,Ferney-Voltaire
1162,84,1,0,FLAXIEU,Flaxieu
1163,84,1,0,FOISSIAT,Foissiat
1165,84,1,0,FRANCHELEINS,Francheleins
1166,84,1,0,FRANS,Frans
1167,84,1,0,GARNERANS,Garnerans
1169,84,1,0,GENOUILLEUX,Genouilleux
1170,84,1,0,BEARD GEOVREISSIAT,Béard-Géovreissiat
1171,84,1,0,GEOVREISSET,Géovreisset
1173,84,1,0,GEX,Gex
1174,84,1,0,GIRON,Giron
1175,84,1,0,GORREVOD,Gorrevod
1177,84,1,0,GRAND CORENT,Grand-Corent
1179,84,1,0,GRIEGES,Grièges
1180,84,1,0,GRILLY,Grilly
1181,84,1,0,GROISSIAT,Groissiat
1183,84,1,0,GUEREINS,Guéreins
1184,84,1,1,HAUTECOURT ROMANECHE,Hautecourt-Romanèche
1185,84,1,0,PLATEAU D HAUTEVILLE,Plateau d'Hauteville
1187,84,1,0,HAUT VALROMEY,Haut Valromey
1188,84,1,1,ILLIAT,Illiat
1189,84,1,1,INJOUX GENISSIAT,Injoux-Génissiat
1190,84,1,1,INNIMOND,Innimond
1191,84,1,1,IZENAVE,Izenave
1192,84,1,1,IZERNORE,Izernore
1193,84,1,1,IZIEU,Izieu
1194,84,1,0,JASSANS RIOTTIER,Jassans-Riottier
1195,84,1,0,JASSERON,Jasseron
1196,84,1,0,JAYAT,Jayat
1197,84,1,0,JOURNANS,Journans
1198,84,1,0,JOYEUX,Joyeux
1199,84,1,0,JUJURIEUX,Jujurieux
1200,84,1,0,LABALME,Labalme
1202,84,1,0,LAGNIEU,Lagnieu
1203,84,1,0,LAIZ,Laiz
1204,84,1,2,POIZAT LALLEYRIAT,Poizat-Lalleyriat
1206,84,1,0,LANTENAY,Lantenay
1207,84,1,0,LAPEYROUSE,Lapeyrouse
1208,84,1,0,LAVOURS,Lavours
1209,84,1,0,LEAZ,Léaz
1210,84,1,0,LELEX,Lélex
1211,84,1,0,LENT,Lent
1212,84,1,0,LESCHEROUX,Lescheroux
1213,84,1,0,LEYMENT,Leyment
1214,84,1,0,LEYSSARD,Leyssard
1215,84,1,0,SURJOUX LHOPITAL,Surjoux-Lhopital
1216,84,1,0,LHUIS,Lhuis
1219,84,1,0,LOMPNAS,Lompnas
1224,84,1,0,LOYETTES,Loyettes
1225,84,1,0,LURCY,Lurcy
1227,84,1,0,MAGNIEU,Magnieu
1228,84,1,0,MAILLAT,Maillat
1229,84,1,0,MALAFRETAZ,Malafretaz
1230,84,1,0,MANTENAY MONTLIN,Mantenay-Montlin
1231,84,1,0,MANZIAT,Manziat
1232,84,1,0,MARBOZ,Marboz
1233,84,1,0,MARCHAMP,Marchamp
1234,84,1,0,MARIGNIEU,Marignieu
1235,84,1,0,MARLIEUX,Marlieux
1236,84,1,0,MARSONNAS,Marsonnas
1237,84,1,0,MARTIGNAT,Martignat
1238,84,1,0,MASSIEUX,Massieux
1239,84,1,0,MASSIGNIEU DE RIVES,Massignieu-de-Rives
1240,84,1,0,MATAFELON GRANGES,Matafelon-Granges
1241,84,1,0,MEILLONNAS,Meillonnas
1242,84,1,0,MERIGNAT,Mérignat
1243,84,1,0,MESSIMY SUR SAONE,Messimy-sur-Saône
1244,84,1,0,MEXIMIEUX,Meximieux
1245,84,1,0,BOHAS MEYRIAT RIGNAT,Bohas-Meyriat-Rignat
1246,84,1,0,MEZERIAT,Mézériat
1247,84,1,0,MIJOUX,Mijoux
1248,84,1,0,MIONNAY,Mionnay
1249,84,1,0,MIRIBEL,Miribel
1250,84,1,0,MISERIEUX,Misérieux
1252,84,1,0,MOGNENEINS,Mogneneins
1254,84,1,0,MONTAGNAT,Montagnat
1255,84,1,0,MONTAGNIEU,Montagnieu
1257,84,1,0,MONTANGES,Montanges
1258,84,1,0,MONTCEAUX,Montceaux
1259,84,1,0,MONTCET,Montcet
1260,84,1,2,MONTELLIER,Montellier
1261,84,1,0,MONTHIEUX,Monthieux
1262,84,1,0,MONTLUEL,Montluel
1263,84,1,0,MONTMERLE SUR SAONE,Montmerle-sur-Saône
1264,84,1,0,MONTRACOL,Montracol
1265,84,1,0,MONTREAL LA CLUSE,Montréal-la-Cluse
1266,84,1,0,MONTREVEL EN BRESSE,Montrevel-en-Bresse
1267,84,1,0,NURIEUX VOLOGNAT,Nurieux-Volognat
1268,84,1,0,MURS ET GELIGNIEUX,Murs-et-Gélignieux
1269,84,1,0,NANTUA,Nantua
1272,84,1,0,NEUVILLE LES DAMES,Neuville-les-Dames
1273,84,1,0,NEUVILLE SUR AIN,Neuville-sur-Ain
1274,84,1,4,NEYROLLES,Neyrolles
1275,84,1,0,NEYRON,Neyron
1276,84,1,0,NIEVROZ,Niévroz
1277,84,1,0,NIVOLLET MONTGRIFFON,Nivollet-Montgriffon
1279,84,1,1,ONCIEU,Oncieu
1280,84,1,1,ORDONNAZ,Ordonnaz
1281,84,1,1,ORNEX,Ornex
1282,84,1,1,OUTRIAZ,Outriaz
1283,84,1,1,OYONNAX,Oyonnax
1284,84,1,1,OZAN,Ozan
1285,84,1,0,PARCIEUX,Parcieux
1286,84,1,0,PARVES ET NATTAGES,Parves et Nattages
1288,84,1,0,PERON,Péron
1289,84,1,0,PERONNAS,Péronnas
1290,84,1,0,PEROUGES,Pérouges
1291,84,1,0,PERREX,Perrex
1293,84,1,0,PEYRIAT,Peyriat
1294,84,1,0,PEYRIEU,Peyrieu
1295,84,1,0,PEYZIEUX SUR SAONE,Peyzieux-sur-Saône
1296,84,1,0,PIRAJOUX,Pirajoux
1297,84,1,0,PIZAY,Pizay
1298,84,1,0,PLAGNE,Plagne
