01043,1999,1999,DECE9908,201
01044,2013,2013,NAIS1319,33
01044,2008,2008,NAIS0813,32
01044,2008,2008,DECE0813,8
01044,1999,1999,DECE9908,20
01045,2013,2013,NAIS1319,27
01045,2008,2008,NAIS0813,19
01045,2008,2008,DECE0813,5
01045,1999,1999,DECE9908,7
01046,2013,2013,NAIS1319,59
01046,2008,2008,NAIS0813,48
01046,2008,2008,DECE0813,18
01046,1999,1999,DECE9908,46
01047,2013,2013,NAIS1319,77
01047,2008,2008,NAIS0813,47
01047,2008,2008,DECE0813,17
01047,1999,1999,DECE9908,39
01049,2013,2013,NAIS1319,217
01049,2008,2008,NAIS0813,152
01049,2008,2008,DECE0813,87
01049,1999,1999,DECE9908,133
01050,2013,2013,NAIS1319,26
01050,2008,2008,NAIS0813,26
01050,2008,2008,DECE0813,11
01050,1999,1999,DECE9908,14
01051,2013,2013,NAIS1319,10
01051,2008,2008,NAIS0813,5
01051,2008,2008,DECE0813,2
01051,1999,1999,DECE9908,16
01052,2013,2013,NAIS1319,13
01052,2008,2008,NAIS0813,12
01052,2008,2008,DECE0813,8
01052,1999,1999,DECE9908,18
01053,2013,2013,NAIS1319,3082
01053,2008,2008,NAIS0813,2618
01053,2008,2008,DECE0813,2074
01053,1999,1999,DECE9908,3449
01054,2013,2013,NAIS1319,105
01054,2008,2008,NAIS0813,97
01054,2008,2008,DECE0813,25
01054,1999,1999,DECE9908,58
01056,2013,2013,NAIS1319,25
01056,2008,2008,NAIS0813,26
01056,2008,2008,DECE0813,9
01056,1999,1999,DECE9908,28
01057,2013,2013,NAIS1319,24
01057,2008,2008,NAIS0813,29
01057,2008,2008,DECE0813,13
01057,1999,1999,DECE9908,30
01058,2013,2013,NAIS1319,50
01058,2008,2008,NAIS0813,55
01058,2008,2008,DECE0813,28
01058,1999,1999,DECE9908,66
01060,2013,2013,NAIS1319,32
01060,2008,2008,NAIS0813,30
01060,2008,2008,DECE0813,23
01060,1999,1999,DECE9908,43
01061,2013,2013,NAIS1319,65
01061,2008,2008,NAIS0813,79
01061,2008,2008,DECE0813,36
01061,1999,1999,DECE9908,54
01062,2013,2013,NAIS1319,64
01062,2008,2008,NAIS0813,41
01062,2008,2008,DECE0813,19
01062,1999,1999,DECE9908,38
01063,2013,2013,NAIS1319,24
01063,2008,2008,NAIS0813,17
01063,2008,2008,DECE0813,9
01063,1999,1999,DECE9908,28
01064,2013,2013,NAIS1319,65
01064,2008,2008,NAIS0813,59
01064,2008,2008,DECE0813,34
01064,1999,1999,DECE9908,40
01065,2013,2013,NAIS1319,120
01065,2008,2008,NAIS0813,85
01065,2008,2008,DECE0813,38
01065,1999,1999,DECE9908,73
01066,2013,2013,NAIS1319,5
01066,2008,2008,NAIS0813,7
01066,2008,2008,DECE0813,4
01066,1999,1999,DECE9908,5
01067,2013,2013,NAIS1319,16
01067,2008,2008,NAIS0813,14
01067,2008,2008,DECE0813,10
01067,1999,1999,DECE9908,9
01068,2013,2013,NAIS1319,48
01068,2008,2008,NAIS0813,39
01068,2008,2008,DECE0813,97
01068,1999,1999,DECE9908,117
01069,2013,2013,NAIS1319,98
01069,2008,2008,NAIS0813,88
01069,2008,2008,DECE0813,26
01069,1999,1999,DECE9908,53
01071,2013,2013,NAIS1319,334
01071,2008,2008,NAIS0813,189
01071,2008,2008,DECE0813,59
01071,1999,1999,DECE9908,62
01072,2013,2013,NAIS1319,182
01072,2008,2008,NAIS0813,169
01072,2008,2008,DECE0813,179
01072,1999,1999,DECE9908,245
01073,2013,2013,NAIS1319,43
01073,2008,2008,NAIS0813,47
01073,2008,2008,DECE0813,36
01073,1999,1999,DECE9908,82
01074,2013,2013,NAIS1319,181
01074,2008,2008,NAIS0813,176
01074,2008,2008,DECE0813,143
01074,1999,1999,DECE9908,187
01075,2013,2013,NAIS1319,103
01075,2008,2008,NAIS0813,72
01075,2008,2008,DECE0813,21
01075,1999,1999,DECE9908,54
01076,2013,2013,NAIS1319,7
01076,2008,2008,NAIS0813,3
01076,2008,2008,DECE0813,7
01076,1999,1999,DECE9908,17
01077,2013,2013,NAIS1319,18
01077,2008,2008,NAIS0813,15
01077,2008,2008,DECE0813,10
01077,1999,1999,DECE9908,18
01078,2013,2013,NAIS1319,80
01078,2008,2008,NAIS0813,57
01078,2008,2008,DECE0813,84
01078,1999,1999,DECE9908,127
01079,2013,2013,NAIS1319,33
01079,2008,2008,NAIS0813,30
01079,2008,2008,DECE0813,99
01079,1999,1999,DECE9908,138
01080,2013,2013,NAIS1319,30
01080,2008,2008,NAIS0813,54
01080,2008,2008,DECE0813,22
01080,1999,1999,DECE9908,59
01081,2013,2013,NAIS1319,46
01081,2008,2008,NAIS0813,34
01081,2008,2008,DECE0813,19
01081,1999,1999,DECE9908,40
01082,2013,2013,NAIS1319,41
01082,2008,2008,NAIS0813,24
01082,2008,2008,DECE0813,14
01082,1999,1999,DECE9908,39
01083,2013,2013,NAIS1319,63
01083,2008,2008,NAIS0813,38
01083,2008,2008,DECE0813,20
01083,1999,1999,DECE9908,37
01084,2013,2013,NAIS1319,80
01084,2008,2008,NAIS0813,64
01084,2008,2008,DECE0813,18
01084,1999,1999,DECE9908,37
01085,2013,2013,NAIS1319,22
01085,2008,2008,NAIS0813,30
01085,2008,2008,DECE0813,8
01085,1999,1999,DECE9908,14
01087,2013,2013,NAIS1319,16
01087,2008,2008,NAIS0813,23
01087,2008,2008,DECE0813,15
01087,1999,1999,DECE9908,25
01088,2013,2013,NAIS1319,53
01088,2008,2008,NAIS0813,43
01088,2008,2008,DECE0813,14
01088,1999,1999,DECE9908,26
01089,2013,2013,NAIS1319,184
01089,2008,2008,NAIS0813,108
01089,2008,2008,DECE0813,52
01089,1999,1999,DECE9908,50
01090,2013,2013,NAIS1319,16
01090,2008,2008,NAIS0813,25
01090,2008,2008,DECE0813,6
01090,1999,1999,DECE9908,18
01092,2013,2013,NAIS1319,115
01092,2008,2008,NAIS0813,89
01092,2008,2008,DECE0813,45
01092,1999,1999,DECE9908,80
01093,2013,2013,NAIS1319,250
01093,2008,2008,NAIS0813,261
01093,2008,2008,DECE0813,307
01093,1999,1999,DECE9908,508
01094,2013,2013,NAIS1319,39
01094,2008,2008,NAIS0813,43
01094,2008,2008,DECE0813,34
01094,1999,1999,DECE9908,60
