COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
P13_PMEN;Pop Ménages (Pop Rés princ) en 2013 (princ);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personne des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;16
P08_PMEN;Pop Ménages (Pop Rés princ) en 2008 (princ);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personne des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;16
D99_PMEN;Pop Ménages (Pop Rés princ) en 1999 (dnbt);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;5
D90_NPER_RP;Pop Ménages (Pop Rés princ) en 1990 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;5
D82_NPER_RP;Pop Ménages (Pop Rés princ) en 1982 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;4
D75_NPER_RP;Pop Ménages (Pop Rés princ) en 1975 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;4
D68_NPER_RP;Pop Ménages (Pop Rés princ) en 1968 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales) en 2019;;;NUM;4
CODGEO;Code commune;Code commune;97501;Miquelon-Langlade;CHAR;5
CODGEO;Code commune;Code commune;97502;Saint-Pierre;CHAR;5
CODGEO;Code commune;Code commune;97701;Saint-Barthélemy;CHAR;5
CODGEO;Code commune;Code commune;97801;Saint-Martin;CHAR;5
